title,overview,release_year,genres,director,cast,source,vote_average,runtime
Rocky IV,"Rocky Balboa takes on the Cold War, coming out of retirement to battle a Soviet fighter who pulverized Rocky's friend and former rival, Apollo Creed.",1985,"['Dramas', 'Sports Movies']",Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Dolph Lundgren, Brigitte Nielsen, Tony Burton, Michael Pataki",netflix,,
Rocky V,"Inspired by the memory of his trainer, a broke and seemingly careerless Rocky finds glory in training and takes on an up-and-coming boxer.",1990,"['Dramas', 'Sports Movies']",John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Richard Gant, Tommy Morrison, Sage Stallone, Burgess Meredith, Tony Burton",netflix,,
Roger Corman's Death Race 2050,"In this dystopian sequel, kills equal points in a violently gory annual cross-country road race sponsored by the United Corporations of America.",2017,"['Action & Adventure', 'Sci-Fi & Fantasy']",G.J. Echternkamp,"Manu Bennett, Malcolm McDowell, Marci Miller, Burt Grinstead, Folake Olowofoyeku, Ramsey Moore, Yancy Butler, Charlie Farrell, Shanna Olson",netflix,,
Roh's Beauty,"Hoping to earn money to support her son, a single mother sings in a nightclub, where danger lurks around every corner.",2014,"['Dramas', 'International Movies']",Sameh Abdulaziz,"Haifa Wehbe, Bassem Samra, Mohamed Lotfy, Ahmed Fathy, Nagua Fouad, Ahlam Al-Gritly, Karim El Abnoudi, Salah Abdullah, Hakim, Usha",netflix,,
Roll Red Roll,"This compelling documentary follows the 2012 Steubenville, Ohio rape case, putting social media and high school football culture in the spotlight.",2018,['Documentaries'],Nancy Schwartzman,,netflix,,
Rolling Papers,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",2015,['Documentaries'],Mitch Dickman,,netflix,,
Romeo Ranjha,"Two common boys travel from India to Thailand to find success and money, enjoying their friendship and finding ways to cheat the cheats.",2014,"['Action & Adventure', 'Comedies', 'Music & Musicals']",Navaniat Singh,"Jazzy B, Garry Sandhu, Monica Bedi, Parul Gulati, Rana Ranbir, Yograj Singh, Rana Jung Bahadur, Sanga Jagir",netflix,,
Room for Rent,"To save his parents’ home, a lottery-squandering 32-year-old man sublets a room to a disarmingly creepy tenant.",2017,"['Comedies', 'Independent Movies']",Matthew Atkinson,"Brett Gelman, Mark Little, Carla Gallo, Stephnie Weir, Patrick J. Adams, Mark McKinney",netflix,,
Room on the Broom,"A gentle witch with a ginger braid offers rides to a variety of animals on her increasingly crowded broom, much to her grumpy cat's chagrin.",2012,"['Children & Family Movies', 'Independent Movies']","Max Lang, Jani Lachauer","Simon Pegg, Gillian Anderson, Rob Brydon, Martin Clunes, Sally Hawkins, David Walliams, Timothy Spall",netflix,,
Roots,This documentary explores the rich heritage of Indian classical music and the reasons behind its modern decline in popularity.,2016,"['Documentaries', 'International Movies', 'Music & Musicals']",Shweta Basu Prasad,,netflix,,
Rounders,"A law student befriends and ""befoes"" a fellow gambling addict and a club owner, and tensions run high when they must come up with $15k in just 5 days.",1998,['Dramas'],John Dahl,"Matt Damon, Edward Norton, John Turturro, Gretchen Mol, Famke Janssen, John Malkovich, Martin Landau, Michael Rispoli, Josh Mostel, Tom Aldredge",netflix,,
Rukh,"Following the untimely death of his father, a young man begins to reconnect with his family while uncovering some difficult truths.",2017,"['Dramas', 'Independent Movies', 'International Movies']",Atanu Mukherjee,"Adarsh Gourav, Manoj Bajpayee, Smita Tambe, Kumud Mishra",netflix,,
Rumble,"An ex-MMA champion reduced to fixing fights in Mexico must win one last match to save his girlfriend, who's been kidnapped by the mob.",2016,"['Action & Adventure', 'Independent Movies']",R. Ellis Frazier,"Gary Daniels, Luis Gatica, Sissi Fleitas, Eddie J. Fernandez, Fabián López, Justin Nesbitt, Pedro Rodman Rodriguez",netflix,,
Rumble in the Bronx,"During a visit to the Bronx to help out at his uncle's store, a cheerful martial arts expert springs into action when a gang terrorizes the shop.",1995,"['Action & Adventure', 'Comedies', 'International Movies']",Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung, Marc Akerstream, Garvin Cross, Morgan Lam, Ailen Sit",netflix,,
Rumor Has It,"When Sarah travels to California for her sister's wedding, she hears a rumor that her family was the real-life inspiration for ""The Graduate.""",2005,"['Comedies', 'Romantic Movies']",Rob Reiner,"Jennifer Aniston, Kevin Costner, Shirley MacLaine, Mark Ruffalo, Richard Jenkins, Christopher McDonald, Steve Sandvoss, Mena Suvari, Mike Vogel",netflix,,
Run,Siddharth falls in love with beautiful Jhanvi. But Jhanvi's brother Ganpat is overly possessive – and determined to destroy their relationship.,2004,"['Action & Adventure', 'International Movies', 'Music & Musicals']",Jeeva,"Abhishek Bachchan, Bhoomika Chawla, Mahesh Manjrekar, Vijay Raaz, Mukesh Rishi, Ayesha Jhulka, Anjan Srivastav, Goga Kapoor, Mukul Agarwal, Shweta Menon",netflix,,
Runaway Bride,"Sparks fly when a newspaper columnist writes a one-sided, sexist story about a commitment-phobic bride who abandoned three men at the altar.",1999,"['Comedies', 'Romantic Movies']",Garry Marshall,"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo, Rita Wilson, Paul Dooley, Christopher Meloni, Donal Logue, Reg Rogers, Yul Vazquez, Jane Morris, Lisa Roberts, Kathleen Marshall, Jean Schertler, Tom Hines",netflix,,
Running for Grace,"In 1920s Hawaii, a young man of mixed race and the daughter of a white plantation owner must overcome racial and class prejudice to be together.",2018,"['Dramas', 'Romantic Movies']",David L. Cunningham,"Ryan Potter, Matt Dillon, Jim Caviezel, Olivia Ritchie, Juliet Mills, Nick Boraine, Rumi Oyama",netflix,,
Running Out Of Time,"Held hostage by men searching for a secret her late husband left behind, a recent widow and her family race against time to find a way out.",2018,['Thrillers'],Chris Stokes,"Tasha Smith, RonReaco Lee, Telma Hopkins, Sydney Elise Johnson, Sean Dominic, Dustin Harnish, Paul Logan, Kearia Schroeder, Michael Toland, Anton Peeples",netflix,,
Russell Madness,"A spunky terrier named Russell with serious wrestling chops becomes a sports phenomenon with the help of his coach, a monkey named Hunk.",2015,"['Children & Family Movies', 'Comedies', 'Sports Movies']",Robert Vince,"David Milchard, John Ratzenberger, Will Sasso, Mason Vale Cotton, John Hennigan, Sean Giambrone, Charles Robinson, Mckenna Grace, Kate Reinders, Fred Willard",netflix,,
Russell Peters: Notorious,"Global comedy star Russell Peters leaves no ethnic or cultural stereotype unsatirized in this outrageous standup appearance in Sydney, Australia.",2013,['Stand-Up Comedy'],Dave Higby,Russell Peters,netflix,,
Rustom,"A decorated naval officer kills his wife's lover, leading to a sensational trial and a national obsession over passion versus premeditated murder.",2016,"['Dramas', 'International Movies']",Dharmendra Suresh Desai,"Akshay Kumar, Ileana D'Cruz, Arjan Bajwa, Esha Gupta, Pavan Malhotra, Parmeet Sethi, Sachin Khedekar, Anang Desai, Kumud Mishra, Brijendra Kala, Usha Nadkarni, Kanwaljeet Singh",netflix,,
S Is for Stanley,"This film examines the complex life of iconic filmmaker Stanley Kubrick, as seen through the eyes of his devoted longtime driver, Emilio D'Alessandro.",2016,"['Documentaries', 'International Movies']",Alex Infascelli,,netflix,,
S.W.A.T.,"A veteran cop is tasked with drafting and training a special weapons and tactics team, who soon find themselves up against an international criminal.",2003,['Action & Adventure'],Clark Johnson,"Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J, Josh Charles, Jeremy Renner, Brian Van Holt, Olivier Martinez, Reg E. Cathey, Larry Poindexter, Page Kennedy, Domenick Lombardozzi, James DuMont",netflix,,
Saath Saath,"A young woman falls for her classmate’s idealistic, non-materialistic ways, but is troubled upon seeing his principles change after they marry.",1982,"['Dramas', 'Independent Movies', 'International Movies']",Raman Kumar,"Deepti Naval, Farooq Shaikh, Satish Shah, Iftekhar, A.K. Hangal, Neena Gupta, Avtar Gill, Javed Khan",netflix,,
Sacro GRA,"Italian filmmaker Gianfranco Rosi turns his eye to his own country, roaming and filming for over two years in a minivan on Rome's giant ring road.",2013,"['Documentaries', 'International Movies']",Gianfranco Rosi,,netflix,,
Sadece Sen,"An ex-boxer falls in love with a blind woman and starts to build a new life, but his violent past returns to endanger them both.",2014,"['Dramas', 'International Movies', 'Romantic Movies']",Hakan Yonat,"Belçim Bilgin, İbrahim Çelikkol, Kerem Can, Necmi Yapıcı, Levent Sülün, Barış Arduç, Erol Gedik, Cezmi Baskın",netflix,,
Sadie's Last Days on Earth,"High schooler Sadie Mitchell believes the world is about to end – literally. Before it does, she sets out to kiss a boy and win back her best friend.",2016,"['Comedies', 'Sci-Fi & Fantasy']",Michael Seater,"Morgan Taylor Campbell, Clark Backo, Ricardo Hoyos, Munro Chambers, Paula Brancati, Helene Joy, Peter Keleghan, George Stroumboulopoulos, John Ralston, Emilia McCarthy",netflix,,
Sadma,"After a traumatic injury leaves her with amnesia and age regression, a young woman is sold to a brothel before a teacher becomes her savior.",1983,"['Dramas', 'International Movies', 'Romantic Movies']",Balu Mahendra,"Kamal Hassan, Sridevi, Silk Smitha, Gulshan Grover, Paintal, Arvind Deshpande",netflix,,
Saeed Mirza: The Leftist Sufi,This documentary profiles the celebrated Hindi film director known as much for his embrace of leftist politics and social concerns as lyrical cinema.,2016,"['Documentaries', 'International Movies']","Kireet Khurana, Padmakumar Narasimhamurthy",Saeed Akhtar Mirza,netflix,,
Saheb Bibi Golaam,"A charming cabbie, a cop turned assassin and a housewife who’s also a hooker share one thing in common: a bizarre and violent afternoon in Kolkata.",2016,"['Dramas', 'International Movies']",Pratim D. Gupta,"Anjan Dutt, Swastika Mukherjee, Ritwick Chakraborty, Parno Mittra, Bikram Chatterjee, Sohag Sen, Sumanta Mukherjee, Arun Mukhopadhyay",netflix,,
Sairat,"When two college students – a rich man’s daughter and a fisherman’s son – defy social edicts by falling in love, violence erupts in their village.",2016,"['Dramas', 'International Movies', 'Romantic Movies']",Nagraj Manjule,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh, Tanaji Galgunde, Suresh Vishwakarma",netflix,,
Sakhi,"Caught in a downward spiral of failed career moves, misguided ambitions and bad relations, a pair of lost souls find hope in an unexpected friendship.",2007,"['Dramas', 'International Movies', 'Music & Musicals']",Sanjay Soorkar,"Ashok Saraf, Sonali Kulkarni, Subodh Bhave, Usha Nadkarni, Raghavendra Kadkol, Pushkar Shrotri, Lokesh Gupte, Santosh Juvekar, Jyoti Joshi, Kishor Mahabole",netflix,,
Salem: His Sister's Father,"A street vendor's simple life is turned upside down after the Egyptian revolution of 2011, forcing him to contend with criminals and cops alike.",2014,"['Dramas', 'International Movies']",Mohamed Hamdy,"Mohamed Ragab, Horeya Farghaly, Ayten Amer, Mohamed Al Shakankeery, Reem Al Baroudi, Badria Tolba, Hesham Ismail, Maher Essam, Hassan Abdulfattah, Aliaa Al-Husseini",netflix,,
Samantaral,"On a family visit, a young man and his girlfriend set out to discover why his eccentric uncle has been mysteriously confined to one room for years.",2017,"['Dramas', 'International Movies']",Partha Chakraborty,"Riddhi Sen, Parambrata Chatterjee, Soumitra Chatterjee, Aparajita Adhya, Tanusree Chakraborty, Kushal Chakraborty, Anindya Banerjee, Surangana Banerjee",netflix,,
Samarppanam,"When a young girl is killed in a suspicious train accident, three very different lives become intertwined in their quest for answers.",2017,"['Dramas', 'International Movies']",K. Gopinathan,"Virginia Rodriguez, Anil Nedumangad, Santhosh Keezhattoor, Indrans, P. Balachandran, Renji Panicker, Gopalan",netflix,,
Sameer Abu Alneel,"Disliked for his stinginess, Samir finds his life turned upside down when he receives a windfall and launches a television channel.",2013,"['Comedies', 'International Movies']",Amr Arafa,"Ahmed Mekky, Nicole Saba, Mohamed Lotfy, Hussien El Imam, Dina El-Sherbiny, Said Tarabeek, Alaa Morsy, Edward Fouad, Abdalah Mishrif, Youssef Eid",netflix,,
Samson,The Biblical story of Samson becomes this sword-and-sandals epic about an Israelite warrior whose God-given brawn is undone by a beautiful temptress.,2018,"['Action & Adventure', 'Dramas', 'Faith & Spirituality']","Bruce MacDonald, Gabriel Sabloff","Taylor James, Billy Zane, Lindsay Wagner, Caitlin Leahy, Rutger Hauer, Jackson Rathbone, Brandon Auret, Frances Sholto-Douglas, Greg Kriek",netflix,,
Samudri Lootere,The king’s ship has been taken over by seemingly fearless pirates! Can Bheem find the one thing that might scare them away?,2018,['Children & Family Movies'],Anirban Majumder,"Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadhwaj, Rajesh Kawa",netflix,,
San Pietro,"After the Allies invade Italy, the Liri Valley town of San Pietro becomes an example of the brutal effects of combat, both for soldiers and civilians.",1945,"['Classic Movies', 'Documentaries']",John Huston,,netflix,,
Sanai Choughade,"In an effort to honor the family matriarch's dying wish, Urmila and her husband, Shrikant, embark on a quest to find a husband for charismatic yet choosey Sai. But some things are easier said than done.",2008,"['Comedies', 'Dramas', 'International Movies']",Rajeev Patil,"Shreyas Talpade, Subodh Bhave, Sai Tamhankar, Santosh Juvekar, Tushar Dalvi, Bharti Aacharekar",netflix,,
Sangam,"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",1964,"['Classic Movies', 'Dramas', 'International Movies']",Raj Kapoor,"Raj Kapoor, Vyjayanthimala, Rajendra Kumar, Lalita Pawar, Achala Sachdev, Hari Shivdasani, Raj Mehra, Iftekhar",netflix,,
Santa Claws,"When a gift sack full of kittens gives Santa a bad allergic reaction, the kitties have to take over and deliver the presents on time.",2014,"['Children & Family Movies', 'Comedies']",Glenn Miller,"Nicola Lambo, Evan Boymel, John P. Fowler, Erica Duke, Ezra James Colbert",netflix,,
Santa's Apprentice,"Young orphan Nicolas learns how to guide a sleigh, slide down chimneys and other duties he'll need when he becomes the next Santa Claus.",2010,['Children & Family Movies'],Luc Vinciguerra,"Julie Gayet, Jean-Pierre Marielle, Lorànt Deutsch, Bruno Salomone, Pierre-François Martin-Laval, Didier Brice, Benoît Allemane, Nathan Simony, Daniela Duspara, Max Cullen",netflix,,
Sarah's Key,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him.",2010,"['Dramas', 'International Movies']",Gilles Paquet-Brenner,"Aidan Quinn, Kristin Scott Thomas, Frédéric Pierrot, Michel Duchaussoy, Dominique Frot, Niels Arestrup, Mélusine Mayance, Gisèle Casadesus, Natasha Mashkevich",netflix,,
Sardaar ji,"When a palatial wedding venue turns out to be haunted, one of the families hosting the wedding hires a fearless Sikh to deal with the ghost.",2015,"['Comedies', 'International Movies', 'Music & Musicals']",Rohit Jugraj,"Diljit Dosanjh, Neeru Bajwa, Mandy Takhar, Jaswinder Bhalla, Ali Kazmi, Anita Kailey, Daman Singh, Sanju Salonki, Amrit Pal, Jatinder Lall, Avy Randhawa",netflix,,
Sardaarji 2,A simple farmer's life becomes complicated after he resolves to save his village from an economic crisis by traveling to Australia to earn money.,2016,"['Action & Adventure', 'Comedies', 'International Movies']",Rohit Jugraj,"Jaswinder Bhalla, Sonam Bajwa, Diljit Dosanjh, Monica Gill",netflix,,
Sarivar Sari,"Raised in working-class Mumbai, Manisha has an independent spirit that angers her father, who favors Manisha's medical student sister, Mini. Things reach a breaking point when Manisha's father beats her for accepting a modeling contract.",2005,"['Dramas', 'International Movies']",Gajendra Ahire,"Madhura Velankar, Mohan Joshi, Nina Kulkarni, Manasi Salvi, Milind Gunaji, Shreyas Talpade, Bharat Jadhav",netflix,,
Sarvopari Palakkaran,"In the course of a human trafficking investigation, a conservative cop crosses paths with an artist-activist in a clash of worldviews.",2017,"['Dramas', 'International Movies']",Venugopan,"Anoop Menon, Alencier Ley Lopez, Balu Varghese, Aparna Balamurali, Anu Sithara, Gayathri Arun, Nandu, Chali Pala",netflix,,
Sat Sri Akal,"Based on true events, this moving story centers on a Punjabi family whose celebration of their faith endures in the face of conflicting attitudes.",2008,"['Dramas', 'Faith & Spirituality', 'International Movies']",Kamal Sahani,"Kimi Verma, Manpreet Singh, Arun Bali, Dolly Minhas, Avtar Gill, Manmeet Singh, Neelu Kohli, Vivek Shaq, Nirmal Rishi, Pooja Tandon",netflix,,
Satan & Adam,An aging blues guitarist and a grad student form an unlikely duo while busking on the street corners of 1980s Harlem.,2018,"['Documentaries', 'Music & Musicals']",V. Scott Balcerek,"Sterling Magee, Adam Gussow",netflix,,
Satrangi Re,"Friends in their last year of college contemplate the future of their band as they juggle questions of love, work, family and identity.",2012,"['Dramas', 'International Movies', 'Music & Musicals']",Aditya Sarpotdar,"Amruta Khanvilkar, Vidyadhar Joshi, Subodh Bhave",netflix,,
Satte Pe Satta,"The eldest of seven brothers who run a family farm together marries a pretty nurse, inspiring his country-bumpkin siblings to follow his example.",1982,"['Comedies', 'Cult Movies', 'Dramas']",Raj N. Sippy,"Amitabh Bachchan, Hema Malini, Amjad Khan, Sachin, Shakti Kapoor, Ranjeeta Kaur, Paintal, Ranjeet",netflix,,
Saturday Church,A teen struggling with gender identity and family tensions seeks hope and support in New York City's underground LGBTQ ballroom community.,2017,"['Dramas', 'LGBTQ Movies']",Damon Cardasis,"Luka Kain, Regina Taylor, Margot Bingham, Marquis Rodriguez, Mj Rodriguez, Indya Moore, Alexia Garcia, Kate Bornstein, Peter Kim, Jaylin Fletcher",netflix,,
Savage Dog,A former professional boxer serving time in a brutal labor camp must fight incredible odds to gain his freedom and avenge an act of violence.,2017,"['Action & Adventure', 'Independent Movies']",Jesse V. Johnson,"Scott Adkins, Juju Chan, Marko Zaror, Vladimir Kulich, Charles Fathy, Matthew Marsden, Keith David, Luke Massy",netflix,,
Savage Raghda,"Desperate to support his son, a single father uses his talent with makeup to dress up as a woman to try out for a part in a commercial.",2018,"['Comedies', 'International Movies', 'Romantic Movies']",Mahmoud Karim,"Ramez Galal, Riham Hagag, Bayyumi Fuad, Entessar, Ahmed Fathy, Mohammed Tharwat",netflix,,
Saving Zoë,A reserved high school freshman acts out when she recovers a diary that offers clues to a secret world that could be behind her sister's murder.,2019,['Dramas'],Jeffrey G. Hunt,"Laura Marano, Vanessa Marano, Christopher Tavarez, Giorgia Whigham, Michael Provost, Nathaniel Buzolic, Ken Jeong, Annie Jacob, Evan Castelloe, Whitney Goin, Jason Davis",netflix,,
Say When,"Desperately clinging to her youth, 28-year-old Megan tells her boyfriend she's attending a career seminar but hangs out with a teenage friend instead.",2014,"['Comedies', 'Dramas', 'Independent Movies']",Lynn Shelton,"Keira Knightley, Chloë Grace Moretz, Sam Rockwell, Kaitlyn Dever, Jeff Garlin, Ellie Kemper, Mark Webber, Daniel Zovatto, Kevin Seal, Ernie Joseph, Louis Hobson, Dylan Arnold, Mari Nelson, Sean Nelson, Omar Silva, Aaron Washington, Sara Coates, Gretchen Mol, Basil Harris",netflix,,
Scales: Mermaids Are Real,A seemingly ordinary girl learns she will turn into a mermaid on her 12th birthday and be forced to leave her life on land behind.,2017,['Children & Family Movies'],Kevan Peterson,"Emmy Perry, Morgan Fairchild, Elisabeth Röhm, Nikki Hahn, Jack Dylan Grazer, Stephen Snedden, Noree Victoria, Sterling Sulieman",netflix,,
Scandal in Sorrento,"When a marshal moves back to his hometown, he finds a woman renting his property who refuses to leave but soon captures his affection.",1955,"['Classic Movies', 'Comedies', 'Independent Movies']",Dino Risi,"Vittorio De Sica, Sophia Loren, Lea Padovani, Antonio Cifariello, Tina Pica, Mario Carotenuto, Yoka Berretty, Virgilio Riento, Clara Crispo, Pasquale Misiano",netflix,,
Scary Movie,"The Wayans brothers spoof some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix and American Pie.",2000,"['Comedies', 'Horror Movies']",Keenen Ivory Wayans,"Anna Faris, Jon Abrahams, Shannon Elizabeth, Shawn Wayans, Regina Hall, Marlon Wayans, Lochlyn Munro, Cheri Oteri, Carmen Electra, Dave Sheridan, Kurt Fuller, Rick Ducommun, James Van Der Beek, Keenen Ivory Wayans, Marissa Jaret Winokur, Dan Joffre",netflix,,
Scary Movie 5,"Taking aim at not only the horror genre but also films like ""Black Swan"" and ""Inception,"" ""Scary Movie 5"" widens the franchise's scope of mockery.",2013,"['Comedies', 'Horror Movies']",Malcolm D. Lee,"Simon Rex, Ashley Tisdale, Charlie Sheen, Lindsay Lohan, Gracie Whitton, Ava Kolker, Erica Ash, Lidia Porto, Katrina Bowden, Terry Crews",netflix,,
School Daze,"At a Historically Black College, a student activist and his cousin pledging a fraternity navigate social divides amid parties, protests and conflicts.",1988,"['Comedies', 'Dramas']",Spike Lee,"Laurence Fishburne, Giancarlo Esposito, Tisha Campbell-Martin, Kyme, Joe Seneca, Ellen Holly, Art Evans, Ossie Davis, Bill Nunn, James Bond III",netflix,,
Scooby-Doo on Zombie Island,"When Daphne's TV show does a segment on real monsters, the gang fires up the Mystery Machine and heads to Moonscar Island, where zombies await.",1998,['Children & Family Movies'],"Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum","Scott Innes, Billy West, Mary Kay Bergman, Frank Welker, B.J. Ward, Adrienne Barbeau, Tara Strong, Cam Clarke, Mark Hamill",netflix,,
Scream 3,"This installment of the tongue-in-cheek horror franchise finds Sidney Prescott once again battling a crazed killer – this time, on a movie set.",2000,['Horror Movies'],Wes Craven,"David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Lance Henriksen, Matt Keeslar, Jenny McCarthy, Emily Mortimer, Parker Posey, Deon Richmond, Kelly Rutherford, Liev Schreiber, Patrick Warburton, Jamie Kennedy",netflix,,
Seal Team Six: The Raid on Osama Bin Laden,"In this dramatic recreation, U.S. Navy SEAL Team 6 trains for a critical mission, then executes a tough nighttime raid on Osama Bin Laden's compound.",2012,['Action & Adventure'],John Stockwell,"Cam Gigandet, Anson Mount, Freddy Rodríguez, Xzibit, Kathleen Robertson, Robert Knepper, Eddie Kaye Thomas, Kenneth Miller, William Fichtner, Jenny Gabrielle, Mo Gallini",netflix,,
Searching for Bobby Fischer,"When a father learns that his 7-year-old son is a whiz at speed chess, he hires an implacable chess master to coach the boy for competitions.",1993,"['Children & Family Movies', 'Classic Movies', 'Dramas']",Steven Zaillian,"Max Pomeranc, Joe Mantegna, Joan Allen, Ben Kingsley, Laurence Fishburne, William H. Macy, Laura Linney, David Paymer, Michael Nirenberg, Robert Stephens",netflix,,
Searching for Sugar Man,"Decades after Detroit singer-songwriter Rodriguez disappeared following the commercial failure of his albums, two fans try to track down their idol.",2012,"['Documentaries', 'International Movies', 'Music & Musicals']",Malik Bendjelloul,Rodriguez,netflix,,
Season of the Witch,A group of weary warriors transport a suspected witch believed to be responsible for spreading the devastating Black Plague.,2011,"['Action & Adventure', 'Sci-Fi & Fantasy']",Dominic Sena,"Nicolas Cage, Ron Perlman, Christopher Lee, Stephen Campbell Moore, Stephen Graham, Ulrich Thomsen, Claire Foy, Robert Sheehan, Kevin Rees, Andrew Hefler",netflix,,
Secret,"Enchanted by a pretty pianist and the haunting melody she plays, a musical prodigy falls in love. But a secret soon threatens to derail their romance.",2007,"['Dramas', 'International Movies', 'Music & Musicals']",Jay Chou,"Jay Chou, Lun-Mei Kwai, Anthony Wong Chau-Sang, Kai-xuan Tseng, Devon Song, Jun Lang Huang, Zhan Yuhao",netflix,,
Secret in Their Eyes,"A former FBI investigator reopens the haunting 13-year-old murder case of his colleague, only to uncover shocking truths hidden since then.",2015,"['Dramas', 'Thrillers']",Billy Ray,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris, Michael Kelly, Joe Cole, Zoe Graham, Alfred Molina",netflix,,
Secrets of Althorp - The Spencers,"Princess Diana's brother, Charles, the ninth Earl Spencer, leads a tour of Althorp House, the manor the Spencer family has called home for 500 years.",2013,"['Documentaries', 'International Movies']",Kasia Uscinska,Samuel West,netflix,,
Secrets of Chatsworth,"Tales of tragedy and scandal unfold through the history of Chatsworth, a grand estate that has been home to some of England's most noted aristocrats.",2013,"['Documentaries', 'International Movies']",Susannah Ward,Samuel West,netflix,,
Secrets of Henry VIII's Palace: Hampton Court,The history of this grand 500-year-old palace is inextricably tied to the lavish lifestyle of King Henry VIII and the doomed fates of his six wives.,2013,"['Documentaries', 'International Movies']",Sam Taplin,Samuel West,netflix,,
Secrets of Her Majesty's Secret Service,"This documentary spotlights more than 100 years of operatives and operations in the U.K.'s secret service, the world's oldest intelligence agency.",2014,"['Documentaries', 'International Movies']",Kasia Uscinska,Samuel West,netflix,,
Secrets of Highclere Castle,"Known as the setting of ""Downton Abbey,"" Highclere Castle truly was the home of aristocrats and an army of servants, with a rich past to share.",2013,"['Documentaries', 'International Movies']",Vicky Matthews,Samuel West,netflix,,
Secrets of Scotland Yard,"Revisit famous cases and explore the history of Scotland Yard, one of the world's oldest detective forces and a name synonymous with crime solving.",2013,['Documentaries'],Susannah Ward,Samuel West,netflix,,
Secrets of Selfridges,American Harry Gordon Selfridge introduced Londoners to a new retail model that made shopping less of a practical pursuit and more of an adventure.,2014,['Documentaries'],Sam Taplin,Samuel West,netflix,,
Secrets of the Tower of London,"Explore the storied history of the iconic Tower of London as it evolved from a royal castle into a dungeon prison and, finally, an armory and mint.",2013,['Documentaries'],Vicky Matthews,Samuel West,netflix,,
Secrets of Underground London,"Experts examine the ruins and relics hidden beneath London's surface, unearthing a Roman amphitheater, plague pits, air raid shelters and more.",2014,"['Documentaries', 'International Movies']","Vicky Matthews, Gareth Sacala",Samuel West,netflix,,
Secrets of Westminster,"Take an insider's tour of Parliament, Big Ben and Westminster Abbey to discover the little-known history and pageantry of these famous buildings.",2014,"['Documentaries', 'International Movies']",Louise Wardle,Samuel West,netflix,,
Sen Kimsin?,"Desperate for cash, klutzy private investigator Tekin searches for a wealthy woman's missing girl but faces one surprise and mishap after another.",2012,"['Comedies', 'International Movies']",Ozan Açıktan,"Tolga Çevik, Köksal Engür, Pelin Körmükçü, Toprak Sergen, Zeynep Özder",netflix,,
Senna,"This fast-paced documentary profiles Ayrton Senna, one of the greatest drivers in the history of Formula One racing, and a hero in his native Brazil.",2010,"['Documentaries', 'International Movies', 'Sports Movies']",Asif Kapadia,"Ayrton Senna, Alain Prost, Frank Williams",netflix,,
"Septiembre, un llanto en silencio","After a terrorist attack in Guatemala, a baby is rendered deaf and motherless and her father is left to raise her alone.",2017,"['Dramas', 'Independent Movies', 'International Movies']",Kenneth Müller,"Saúl Lisazo, Mario Zaragoza, Juan Pablo Olyslager, Costanza Andrade",netflix,,
Set Up,"A diamond heist goes horribly wrong, and the group of friends who sought to make a fortune must instead fight for their very survival.",2011,['Action & Adventure'],Mike Gunther,"50 Cent, Ryan Phillippe, Bruce Willis, Rory Markham, Jenna Dewan, Brett Granstaff, Randy Couture, Susie Abromeit, Ron Turner, James Remar",netflix,,
Sex and the City 2,"Best friends Carrie, Miranda, Samantha and Charlotte take a break from their busy New York lives for an all-expenses-paid luxury vacation to Abu Dhabi.",2010,"['Comedies', 'Dramas', 'Romantic Movies']",Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis, Chris Noth, John Corbett, David Eigenberg, Evan Handler, Jason Lewis, Willie Garson, Mario Cantone",netflix,,
Sex and the City: The Movie,"When Carrie's big step forward in her relationship goes awry, best friends Charlotte, Miranda and Samantha are there to help her pick up the pieces.",2008,"['Comedies', 'Dramas', 'Romantic Movies']",Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Candice Bergen, Jennifer Hudson, David Eigenberg, Evan Handler, Jason Lewis, Mario Cantone, Lynn Cohen",netflix,,
Sex Doll,"A high-end call girl falls for a handsome man she meets at a nightclub, but he harbors a secret that throws a wrench in their relationship.",2016,"['Dramas', 'International Movies', 'Romantic Movies']",Sylvie Verheyde,"Hafsia Herzi, Ash Stymest, Karole Rocher, Paul Hamy, Ira Max, Lindsay Karamoh, Myriam Djeljeli",netflix,,
